游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
Monster Forest 怪物森林,¥ 0.00,,,,"策略, 卡牌游戏, 类 Rogue, 回合制战术, 单人, 集换式卡牌游戏, 2D, 像素图形, 牌组构建, 冒险, 角色扮演, 独立",冒险类; 角色扮演类; 策略类
Sinister Outbreak,¥ 22.00,1 篇用户评测,1,7.2h,"动作, 冒险, 动作冒险, 射击, 第三人称射击, 3D, 第三人称, 氛围, 科幻, 悬疑, 生存, 恐怖, 抢先体验, 独立, 暴力, 血腥, 生存恐怖, 僵尸, 战斗, 玩家对战环境",动作类; 射击类; 冒险类
Tales of Eden: Midgard,¥ 76.00,8 篇用户评测,8,0.7h,"角色扮演, 冒险, 开放世界, 动作, 类魂系列, 探索, 后末日, 动作角色扮演, 中世纪, 彩色, 第一人称, 第三人称, 独立, 生存, 战斗, 制作, 剧情丰富, 单人, 电脑角色扮演",动作类; 冒险类; 角色扮演类
狩猎之夜：主权辛迪加,¥ 46.00,85%,177,8.2h,"牌组构建式类 Rogue, 牌组构建, 轻度 Rogue, 卡牌游戏, 角色扮演, 卡牌战斗, 策略, 单人, 类 Rogue, 剧情丰富, 回合制, 冒险, 回合制战斗, 回合战略, 玩家对战环境, 蒸汽朋克, 2D, 重玩价值, 恐怖, 洛夫克拉夫特式",冒险类; 角色扮演类; 策略类
珠峰攀登模拟器,¥ 26.00,21%,32,0.5h,"体育, 竞速, 动作类 Rogue, 战斗竞速, 沉浸式模拟, 角色扮演, 摩托车越野, 生存, 驾驶, 骑车, 步行模拟, 动作冒险, 3D, 休闲, 第三人称, 动作, 模拟, 开放世界, 冒险, 单人",动作类; 冒险类; 角色扮演类; 模拟类; 体育类; 竞速类; 休闲类
Scraptory,¥ 0.00,,,,"抢先体验, 开放世界, 沙盒, 策略, 角色扮演, 塔防, 探索, 生存, 冒险, 资源管理, 建造, 氛围, 即时战略, 后末日, 采矿, 教程, 科幻, 风格化, 3D, 基地建设",冒险类; 角色扮演类; 模拟类; 策略类
The Third,¥ 0.00,,,,"冒险, 恐怖, 黑暗, 探索, 步行模拟, 氛围, 3D, 拟真, 80 年代, 电影式, 单人, 心理恐怖, 剧情丰富, 黑暗奇幻, 心理, 惊悚, 生存恐怖, 第一人称射击, 隐藏物体, 奇幻",射击类; 冒险类; 解谜类
ANT WORK,¥ 0.00,,,,"休闲, 横向滚屏, 社交聚会游戏, 2D, 团队导向, 复古, 在线合作, 单人, 独立, 抢先体验, 多人, 合作",休闲类
爆炸比波普,¥ 0.00,,,,"休闲, 模拟, 动作, 点击游戏, 挂机游戏, 沉浸式模拟, 射击, 街机, 双摇杆射击, 2D, 像素图形, 抽象, 放松, 单人, 氛围, 极简主义, 风格化, 独立, 策略, 复古",动作类; 射击类; 模拟类; 策略类; 休闲类
Twincantation,¥ 22.00,100%,29,0.7h,"视觉小说, 心理恐怖, 选择取向, 氛围, 剧情丰富, 手绘, 原声音轨, 自选历险体验, 温馨惬意, 灵异, 互动小说, 休闲, LGBTQ+, 2D, 单人, 对话, 风格化, 冒险, 多结局, 惊悚",冒险类; 休闲类
Fall Or Nothing,¥ 15.00,1 篇用户评测,1,2.3h,"休闲, 竞速, 街机, 3D 平台, 物理, 精确平台, 奔跑, 80 年代, 3D, 风格化, 第三人称, 喜剧, 独立, 欢乐, 老式, 跑酷, 线性, 单人",动作类; 竞速类; 休闲类
Wove,¥ 0.00,,,,"冒险, 休闲, 解谜, 平台游戏, 在线合作, 单人, 温馨惬意",动作类; 冒险类; 解谜类; 休闲类
RocketShip Go Up,¥ 11.00,1 篇用户评测,1,0.2h,"动作, 街机, 飞行, 清版射击, 横向滚屏, 3D, 老式, 科幻, 独立, 战斗, 物理, 单人, 休闲",动作类; 休闲类
Fyte,¥ 0.00,,,,"免费开玩, 动作, 大型多人在线, 休闲, 模拟, 自走棋, 抢先体验, 角色自定义, 重玩价值, 卡通, 单人, 独立, 俯视射击, 生存",动作类; 模拟类; 休闲类
箱即是空Box or Void,¥ 0.00,,,,"解谜, 推箱子, 逻辑, 休闲, 极简主义, 抽象, 独立, 困难, 单人, 2D, 控制器, 网格导向动作, 策略, 可爱",策略类; 解谜类; 休闲类
Pixel Survivors: Defense,¥ 0.00,,,,"弹幕射击, 轻度 Rogue, 自走棋, 塔防, 玩家对战环境, 类 Rogue, 策略, 2D, 像素图形, 魔法, 生存, 单人, 独立, 抢先体验, 休闲",策略类; 休闲类
Body & Soul,免费,4 篇用户评测,4,6.0h,"休闲, 策略, 解谜, 3D, 信仰, 魔法, 线性, 免费开玩, 单人",策略类; 解谜类; 休闲类
Spiral,¥ 18.00,2 篇用户评测,2,0.3h,"动作冒险, 冒险, 收集马拉松, 恐怖, 90 年代, 步行模拟, 3D, 3D 平台, 第三人称, 第一人称, 电影式, 潜行, 隐藏物体, 独立, 剧情, 心理, 悬疑, 哲理, 科幻, 刷宝",动作类; 冒险类; 解谜类
呐喊：把时代还给我们,¥ 0.00,,,,"冒险, 独立, 角色扮演, 视觉小说, 剧情丰富",冒险类; 角色扮演类
Voice of Nature,¥ 0.00,,,,"休闲, 恋爱模拟, 角色扮演, 农场模拟, 模拟, 奇幻, 温馨惬意, 生活模拟, 探索, 2D, 动漫, 自然, 彩色, 像素图形, 烹饪, 钓鱼, 制作, 采矿, 单人, 放松",冒险类; 角色扮演类; 模拟类; 休闲类
Wordcaster,免费开玩,3 篇用户评测,3,7.4h,"休闲, 文字游戏, 拼字, 声控, 教育, 阖家, 单人, 彩色, 卡通风格, 3D, 免费开玩, 动作, 魔法, 奇幻, 人工智能, 玩家对战环境",动作类; 冒险类; 休闲类
Trade Anchor,¥ 0.00,,,,"贸易, 科幻, 策略, 2D, 单人, 管理, 交通运输, 模拟, 太空, 经济, 资源管理, 程序生成, 即时战略, 抢先体验, 独立, 俯视, 太空模拟, 放松, 外星人, 未来",模拟类; 策略类
CapitalCraft,¥ 0.00,,,,"沉浸式模拟, 自动化, 资本主义, 策略, 经济, 采矿, 地下, 管理, 动作, 模拟, 玩家对战环境, 贸易, 沙盒, 2D, 选择取向, 非线性, 开放世界, 车辆作战, 科幻, 未来",动作类; 冒险类; 模拟类; 策略类
Ocean of Vengeance,¥ 6.00,1 篇用户评测,1,2.4h,"动作, 动作冒险, 隐藏物体, 探索, 战争游戏, 回合制战术, 2D, 像素图形, 彩色, 可爱, 海军, 剧情, 冒险, 角色扮演, 独立, 海盗, 海战, 快速反应事件, 回合制战斗, 战斗",动作类; 冒险类; 角色扮演类; 解谜类
Scarf Ace,¥ 42.00,,,,"精确平台, 2D 平台, 单人, 动作, 竞速, 跑酷, 平台游戏, 女性主角, 2D, 线性, 独立, 手绘, 物理, 像素图形",动作类; 竞速类
Veriventure,¥ 0.00,,,,"迷宫探索, 动作, 关卡编辑, 动作冒险, 冒险, 独立, 像素图形, 女性主角, 解谜, 类银河战士恶魔城, 风格化, 氛围, 单人, 3D 平台, 复古, 3D, 平台游戏, 第三人称, 建造",动作类; 冒险类; 模拟类; 解谜类
Trolling Football,¥ 6.00,1 篇用户评测,1,1.6h,"体育, 解谜, 休闲, 点击游戏, 冒险, 2D, 单人, 街机, 玩家对战环境, 独立",动作类; 冒险类; 体育类; 解谜类; 休闲类
Save The Flag,¥ 6.00,1 篇用户评测,1,2.1h,"动作, 休闲, 单人, 街机, 玩家对战环境, 战斗, 美国, 第一人称射击, 独立, 第一人称",动作类; 射击类; 休闲类
暗いトコロ - dark place -,¥ 11.00,3 篇用户评测,3,,"冒险, 步行模拟, 隐藏物体, 3D, 第一人称, 惊悚, 单人, 独立, 恐怖",冒险类; 解谜类
Guillotine,¥ 0.00,,,,"动作, 冒险, 2D 平台, 解谜, 类银河战士恶魔城, 平台游戏, 平台解谜, 2D, 像素图形, 氛围, 喜剧, 黑暗奇幻, 暴力, 独立, 黑色幽默, 黑暗, 恐怖, 控制器, 角色自定义, 单人",动作类; 冒险类; 解谜类
Lugal: Bronze Age Survival Game,¥ 0.00,,,,"制作, 生存, 角色扮演, 基地建设, 自动化, 合作战役, 动作, 模拟, 在线合作, 政治, 玩家对战环境, 角色自定义, 3D, 暴力, 第三人称, 冒险, 历史, 开放世界, 哲理, 单人",动作类; 冒险类; 角色扮演类; 模拟类
Exit Denied,¥ 18.00,2 篇用户评测,2,,"第一人称, 恐怖, 心理恐怖, 休闲, 单人, 暴力, 独立",冒险类; 休闲类
MEKANION,¥ 11.00,1 篇用户评测,1,,"英雄射击, 角色扮演, 动作, 玩家对战环境, 射击, 动作角色扮演, 2D, 俯视, 枪械改装, 像素图形, 战术, 战斗, 单人",动作类; 射击类; 角色扮演类
Solo Cultivation 独修,¥ 0.00,,,,"模拟, 动作, 挂机游戏, 砍杀, 沙盒, 制作, 武术, 魔法, 独立, 2D, 像素图形, 单人, 点击游戏, 休闲",动作类; 模拟类; 休闲类
Santas Little Helper,¥ 6.00,无用户评测,,0.8h,"休闲, 点击游戏, 街机, 2D, 阖家, 竞分, 独立, 单人",动作类; 休闲类
未获取到,未获取到价格,,,2.9h,,
Mini Scouts,¥ 0.00,,,,"抢先体验, 自走棋, 牌组构建式类 Rogue, 回合制战斗, 可爱, 玩家对战, 2D, 单人, 异步多人, 牌组构建, 迷宫探索, 轻度 Rogue, 回合制, 回合制战术, 卡牌战斗, 玩家对战环境, 回合战略, 类 Rogue, 策略, 欢乐",策略类
未获取到,未获取到价格,,,,,
Eclipse: Anomaly Research,¥ 0.00,,,,"时间管理, 探索, 解谜, 女性主角, 3D, 第一人称, 恐怖, 心理恐怖, 推理, 线性, 剧情丰富, 休闲, 拟真, 科幻, 悬疑, 氛围, 心理, 生存恐怖, 资源管理, 单人",冒险类; 解谜类; 休闲类
道士先生,¥ 12.00,2 篇用户评测,2,0.7h,"角色扮演, 动作, 动作类 Rogue, 2D, 僵尸, 永久死亡, 单人",动作类; 角色扮演类
Red Tape Rampage,¥ 0.00,,,,"策略, 挂机游戏, 2D, 讽刺, 独立, 自动化, 单人, 管理",策略类; 休闲类
Veils of the Past,¥ 0.00,,,,"自选历险体验, 探索, 互动小说, 视觉小说, 3D, 3D 视觉, 黑色, 基于文字, 第三人称, 故事架构丰富, 推理, 对话, 选择取向, 多结局, 非线性, 剧情丰富, 拟真, 惊悚, 时空旅行, 哲理",冒险类
Reforest,¥ 0.00,,,,"探索, 沙盒, 互动小说, 教育, 管理, 自然, 休闲, 模拟, 玩家对战环境, 农场模拟, 3D, 可爱, 第三人称, 放松, 线性, 开放世界, 选择取向, 独立, 抢先体验, 阖家",冒险类; 模拟类; 休闲类
不完全调和少女,¥ 0.00,,,,"角色扮演, 策略, 时间管理, 视觉小说, 休闲, 动漫, 剧情丰富, 牌组构建, 模拟, 生活模拟, 多结局, 资源管理, 2D, 剧情, 单人",冒险类; 角色扮演类; 模拟类; 策略类; 休闲类
Velocity Racing: 1000,¥ 42.00,2 篇用户评测,2,,"竞速, 模拟, 街机, 第一人称, 拟真, 第三人称, 驾驶, 越野, 复古, 合作, 独立, 多人, 在线合作, 单人",动作类; 模拟类; 竞速类
Gridiron Remastered,¥ 0.00,,,,"体育, 美式橄榄球, 玩家对战, 街机, 电竞, 角色自定义, 3D, 后末日, 控制器, 团队导向, 风格化, 科幻, 动作, 机器人, 物理, 未来, 多人, 在线合作, 第三人称",动作类; 体育类
Prehistoric Skater,¥ 6.00,无用户评测,,1.2h,"2D 平台, 休闲, 滑板, 街机, 2D, 恐龙, 历史, 竞分, 冒险, 独立, 自然, 单人",动作类; 冒险类; 体育类; 休闲类
Tiny Chills - Not From Ear,¥ 0.00,,,,"心理恐怖, 恐怖, 剧情丰富, 氛围, 复古, 血腥, 黑暗, 悬疑, 科幻, 选择取向, 风格化, 多结局, 冒险, 步行模拟, 探索, 医疗模拟, 洛夫克拉夫特式, 第一人称, 阴谋, 独立",冒险类
Migration,¥ 0.00,,,,"生活模拟, 生存, 自然, 玩家对战环境, 动作冒险, 模拟, 冒险, 拟真, 探索, 飞行, 氛围, 单人, 开放世界, 资源管理, 制作, 教育, 沉浸式模拟, 雪, 沙盒, 科学",冒险类; 模拟类
Blanket Fort,¥ 42.00,92%,27,0.8h,"恐怖, 心理恐怖, 温馨惬意, 生存恐怖, 单人, 电影式, 风格化, 冒险, 探索, 第一人称, 解谜, 黑暗, 氛围, 抽象, 步行模拟, 惊悚, 潜行, 模拟, 可爱, 彩色",动作类; 冒险类; 模拟类; 解谜类
Quizy Peasy,¥ 0.00,,,,"休闲, 益智问答, 多人, 控制器, 卡通风格, 彩色, 阖家, 可爱, 教育",解谜类; 休闲类
Geodyssey,¥ 0.00,,,,"解谜, 第一人称, 超现实, 冒险, 探索, 电影式, 体验, 独立, 3D, 心理, 单人, 沉浸式, 彩色, 抽象, 非线性, 迷幻, 拟真, 平台解谜, 物理",冒险类; 解谜类
Have You Seen This Cat?,¥ 0.00,,,,"生存恐怖, 恐怖, 互动小说, 猫, 动作, 冒险, 单人, 探索, 3D, 第一人称, 收集马拉松, 可爱, 程序生成, 策略, 独立, 模拟",动作类; 冒险类; 模拟类; 策略类
Pixel Way: Prologue,¥ 22.00,2 篇用户评测,2,,"冒险, 角色扮演, 2D 格斗, 视觉小说, 回合战略, 步行模拟, 2D 平台, 挂机游戏, 80 年代, 不可思议迷宫, 点击游戏, 迷宫探索, 2D, 极简主义, 黑色, 像素图形, 90 年代, 刷宝, 复古, 黑暗奇幻",冒险类; 角色扮演类; 休闲类
Aegis Protocol,¥ 26.00,1 篇用户评测,1,1.2h,"冒险, 指向点击, 解谜, 犯罪, 隐藏物体, 2D, 卡通风格, 黑色, 阴谋, 黑暗, 单人, 推理, 剧情丰富, 记叙, 像素图形, 库存管理, 人工智能, 女性主角, 赛博朋克, 探索",冒险类; 解谜类
The Legend of Kairo,¥ 23.10,1 篇用户评测,1,,"冒险, 武术, 动作冒险, 忍者, 3D 平台, 探索, 动作, 分屏, 复古, 电影式, 动漫, 剧情丰富, 第三人称, 开放世界, 清版动作, 独立, 漫画, 血腥, 暴力, 反乌托邦",动作类; 冒险类
The House Never Wins,¥ 0.00,,,,"休闲, 牌组构建, 轻度 Rogue, 选择取向, 策略, 卡牌游戏, 2D, 类 Rogue, 彩色, 像素图形, 80 年代, 独立, 模拟, 氛围, 黑暗, 复古, 线性, 单人",模拟类; 策略类; 休闲类
Waterjacked!,¥ 0.00,,,,"回合战略, 牌组构建式类 Rogue, 枪械改装, 像素图形, 策略, 回合制战斗, 类 Rogue, 回合制, 西部, 2D, 程序生成, 回合制战术, 牌组构建, 科幻, 机器人, 网格导向动作, 单人, 冒险, 轻度 Rogue, 战斗",冒险类; 策略类
Penguin's Love,¥ 6.00,1 篇用户评测,1,10.3h,"2D 平台, 休闲, 解谜, 冒险, 平台游戏, 街机, 2D, 放松, 剧情丰富, 独立, 单人",动作类; 冒险类; 解谜类; 休闲类
Elements of Harmony,¥ 6.00,无用户评测,,0.9h,"2D 平台, 休闲, 冒险, 解谜, 玩家对战环境, 平台游戏, 2D, 奇幻, 独立, 单人",动作类; 冒险类; 解谜类; 休闲类
They Watch,¥ 22.00,3 篇用户评测,3,30.8h,"街机, 恐怖, 困难, 氛围, 心理恐怖, 动作, 惊悚, 生存恐怖, 复古, 悬疑, 像素图形, 心理, 黑暗, 3D, 第一人称射击, 独立, 第一人称, 单人, 永久死亡, 灵异",动作类; 射击类; 冒险类
Rinny Platformer Rage Game,¥ 0.00,,,,"动作, 冒险, 角色扮演, 动作冒险, 可爱, 团队角色扮演, 像素图形, 平台游戏, 2D 平台, 回合制战术, 俯视, 2D, 彩色, 喜剧, 黑暗奇幻, 黑色幽默, 剧情, 情感, 欢乐, LGBTQ+",动作类; 冒险类; 角色扮演类
He Followed Me,¥ 22.00,79%,24,1.9h,"动作, 冒险, 模拟, 动作冒险, 第一人称射击, 3D, 第一人称, 拟真, 80 年代, 90 年代, 氛围, 黑暗, 剧情, 驾驶, 情感, 生存恐怖, 阖家, 恐怖, 心理恐怖, 心理",动作类; 射击类; 冒险类; 模拟类
Instant Anastasia,¥ 26.00,95%,46,1.4h,"动作, 动作冒险, 动作类 Rogue, 第一人称射击, 轻度 Rogue, 3D, 第一人称, 科幻, 生存恐怖, 未来, 心理恐怖, 独立, 超现实, 非线性, 程序生成, 资源管理, 单人",动作类; 射击类; 冒险类
Bumper Brawlers,¥ 42.00,2 篇用户评测,2,,"体育, 华丽格斗, 战斗竞速, 分屏, 清版动作, 第三人称, 驾驶, 玩家对战, 大逃杀, 欢乐, 街机, 3D, 控制器, 竞技场射击, 动作, 车辆作战, 单人, 休闲, 多人, 4 人本地",动作类; 体育类; 休闲类
Escape from Irene: Parasite,¥ 0.00,,,,"探索, 角色扮演, 时间管理, 第一人称射击, 互动小说, 模拟, 解谜, 冒险, 3D, 可爱, 心理恐怖, 多结局, 剧情丰富, 独立, 抽象, 动漫, 情感, 生存恐怖, 单人",射击类; 冒险类; 角色扮演类; 模拟类; 解谜类
A Porter Story,¥ 15.00,2 篇用户评测,2,2.1h,"冒险, 模拟, 剧情丰富, 指向点击, 探索, 恐怖, 第一人称, 氛围, 3D, 后末日, 黑暗, 线性, 单人, 犯罪, 情感, 对话",冒险类; 模拟类; 解谜类
Chill Beach Simulator,¥ 15.00,无用户评测,,24.8h,"探索, 模拟, 沉浸式模拟, 自然, 冒险, 3D, 放松, 休闲, 惊悚, 氛围, 悬疑, 情境, 单人, 独立",冒险类; 模拟类; 休闲类
商旅日记Trader's Trail Tales,¥ 0.00,,,,"冒险, 休闲, 像素图形, 迷宫探索, 角色扮演, 日系角色扮演, 复古, 可爱, 剧情丰富, 单人, 独立, 2D",冒险类; 角色扮演类; 休闲类
重生之再战高考 Reborn: Examine Again,¥ 6.00,2 篇用户评测,2,2.2h,"休闲, 策略, 牌组构建式类 Rogue, 类 Rogue, 轻度 Rogue, 2D, 像素图形, 现代, 独立, 单人",策略类; 休闲类
Combo Master,¥ 26.00,100%,14,1.2h,"动作, 策略, 2D 格斗, 2D 平台, 2D, 像素图形, 氛围, 玩家对战环境, 休闲, 单人",动作类; 策略类; 休闲类
你的老妹,¥ 6.00,6 篇用户评测,6,41.3h,"动漫, 可爱, 手绘, 休闲, 女性主角, 恋爱模拟, 挂机游戏, 实用工具, 指向点击, 时间管理, 独立, 软件, 点击游戏, 单人",解谜类; 休闲类
GAIONIN WAR don't combine 【混ぜるな危険】,¥ 18.00,1 篇用户评测,1,34.5h,"第一人称射击, 经济, 互动小说, 商店管理, 战争, 贸易, 军事, 资本主义, 玩家对战, 沉浸式模拟, 射击, 动作冒险, 第一人称, 黑色喜剧, 记叙, 动作, 模拟, 战术, 喜剧, 氛围",动作类; 射击类; 冒险类; 模拟类
Hover Rancher,¥ 29.00,,,,"探索, 动作即时战略, 弹幕射击, 砍杀, 迷宫探索, 动作, 塔防, 冒险, 指向点击, 类 Rogue, 策略, 2D, 3D, 3D 视觉, 基地建设, 独立, 卡通风格, 风格化, 卡通, 单人",动作类; 冒险类; 策略类; 解谜类
Mindaro,¥ 0.00,,,,"恐怖, 在线合作, 动作, 探索, 程序生成, 第一人称, 心理恐怖, 生存恐怖, 合作, 氛围, 科幻, 欢乐, 冒险, 动作冒险, 3D, 永久死亡, 玩家对战环境, 抢先体验, 多人",动作类; 冒险类
Viva La Grind,¥ 0.00,,,,"动作, 滑行, 体育, 冒险, 3D 平台, 风格化, 动作冒险, 彩色, 平台游戏, 跑酷, 第三人称, 单人, 机甲, 独立, 角色自定义, 战斗, 控制器, 女性主角, 线性, 竞分",动作类; 冒险类; 体育类
海滨野餐,¥ 0.00,,,,"休闲, 角色扮演, 互动小说, 指向点击, 解谜, 视觉小说, 自选历险体验, 沉浸式模拟, 2D, 动漫, 卡通风格, 彩色, 可爱, 单人, 基于文字, 手绘, 风格化, 免费开玩, 独立, 情感",冒险类; 角色扮演类; 解谜类; 休闲类
Balloon,¥ 0.00,,,,"情感, 休闲, 氛围, 探索, 物理, 风格化, 角色扮演, 冒险, 卡通风格, 欢乐, 彩色, 放松, 单人, 3D, 独立",冒险类; 角色扮演类; 休闲类
Runway™,¥ 0.00,,,,"3D 平台, 清版动作, 物理, 3D 格斗, 动作, 街机, 模拟, 角色自定义, 女性主角, 第三人称, 欢乐, LGBTQ+, 控制器, 3D, 休闲, 卡通风格, 独立, 彩色, 像素图形, 风格化",动作类; 模拟类; 休闲类
小小机器人,¥ 0.00,,,,"冒险, 休闲, 平台游戏, 步行模拟, 解谜, 3D 平台, 探索, 3D, 电影式, 黑色, 风格化, 第三人称, 氛围, 免费开玩, 情感, 放松, 机器人, 控制器, 线性, 单人",动作类; 冒险类; 解谜类; 休闲类
Give Me Your Hands,¥ 0.00,,,,"冒险, 休闲, 策略, 动作冒险, 平台游戏, 解谜, 沙盒, 步行模拟, 3D 平台, 生物收集, 探索, 单人, 教程, 平台解谜, 物理, 线性, 控制器, 3D, 放松, 卡通",动作类; 冒险类; 策略类; 解谜类; 休闲类
未获取到,未获取到价格,,,1.7h,,
My Bookshop Dreams,¥ 0.00,,,,"温馨惬意, 管理, 可爱, 手绘, 休闲, 放松, 模拟, 指向点击, 街机, 3D, 俯视, 彩色, 独立, 风格化, 库存管理, 资源管理, 单人, 点击游戏, 收集马拉松, 商店管理",动作类; 模拟类; 解谜类; 休闲类
资本王座,¥ 7.50,无用户评测,,2.6h,"休闲, 策略, 卡牌游戏, 回合战略, 桌上游戏, 纸牌, 2D, 黑色, 哲理, 角色扮演, 卡牌战斗, 复古, 战术角色扮演, 多人在线战术竞技, 心理, 大型多人在线, 独立, 战术, 管理, 经济",射击类; 角色扮演类; 策略类; 休闲类
T.B.M ~The Blueppers Mayhem~,免费开玩,6 篇用户评测,6,11.2h,"动作, 休闲, 街机, 2D 格斗, 平台游戏, 解谜, 即时战略, 奔跑, 华丽格斗, 2D 平台, 精确平台, 2D, 多人, 玩家对战, 现代, 彩色, 太空, 复古, 免费开玩, 独立",动作类; 策略类; 解谜类; 休闲类
OverField,免费开玩,81%,732,16.8h,"休闲, 冒险, 动作, 角色扮演, 日系角色扮演, 3D 平台, 3D 格斗, 动作即时战略, 动作冒险, 大型多人在线角色扮演, 动作角色扮演, 即时战术, 探索, 生物收集, 电脑角色扮演, 3D, 3D 视觉, 动漫, 全动态影像, 卡通",动作类; 冒险类; 角色扮演类; 休闲类
未获取到,未获取到价格,,,4.5h,,
未获取到,未获取到价格,,,1.1h,,
Rebolt,¥ 0.00,,,,"动作, 蒸汽朋克, 第三人称, 第三人称射击, 类 Rogue, 射击, 机器人, 在线合作, 女性主角, 3D 格斗, 刷宝射击游戏, 休闲, 多人, 清版射击, 3D, 卡通风格, 后末日, 政治, 竞技场射击, 弹幕射击",动作类; 射击类; 休闲类
RADIOACTIVE INC.,¥ 11.00,66%,24,3.1h,"多人, 恐怖, 生存恐怖, 动作, 密室逃脱, 在线合作, 合作, 独立, 3D, 第一人称射击, 第一人称, 4 人本地, 休闲, 平台游戏, 单人, 多结局, 线性",动作类; 射击类; 冒险类; 休闲类
Getting Over It with Your Body,¥ 42.00,4 篇用户评测,4,,"心理恐怖, 困难, 欢乐, 物理, 哲理, 恐怖, 动作, 心理, 冒险, 放松, 休闲, 策略, 模拟, 竞速, 体育, 3D 平台, 蓄意操控困难, 角色扮演, 平台游戏, 动作冒险",动作类; 冒险类; 角色扮演类; 模拟类; 策略类; 体育类; 竞速类; 休闲类
Train Deluxe 2026 Kurakyu,¥ 108.00,3 篇用户评测,3,,"休闲, 模拟, 火车, 汽车模拟, 车辆作战, 现代, 3D 平台, 探索, 沉浸式模拟, 精确平台, 3D, 第三人称, 第一人称, 拟真, 独立, 地下, 超现实, 交通运输, 氛围, 控制器",冒险类; 模拟类; 竞速类; 休闲类
Dice × Deck,¥ 42.00,,,0.2h,"类 Rogue, 牌组构建, 挂机游戏, 3D, 休闲, 阖家, 自动化, 单人, 牌组构建式类 Rogue, 独立",休闲类
Catharage,¥ 42.00,81%,49,8.2h,"探索, 刷宝射击游戏, 飞行, 策略, 即时战术, 轻度 Rogue, 玩家对战环境, 太空模拟, 角色扮演, 类 Rogue, 单人, 3D, 战斗, 未来, 黑暗, 第三人称, 电影式, 氛围, 放松, 战术",射击类; 冒险类; 角色扮演类; 策略类
Amanita,¥ 0.00,,,,"迷幻, 记叙, 单人, 探索, 卡牌战斗, 动作, 3D 平台, 冒险, 黑暗, 卡牌游戏, 平台游戏, 动作冒险, 3D, 第一人称, 策略, 超现实, 独立, 控制器, 心理, 战斗",动作类; 冒险类; 策略类
Gangsters in Love,¥ 108.00,100%,12,7.0h,"自选历险体验, 视觉小说, 恋爱模拟, 冒险, 女性主角, LGBTQ+, 少女游戏, 爱情, 剧情丰富, 动漫, 剧情, 单人",冒险类
Corrupted Basement,¥ 18.00,1 篇用户评测,1,,"动作, 第一人称, 恐怖, 心理恐怖, 独立, 潜行, 氛围, 生存, 黑暗, 生存恐怖, 单人",动作类; 冒险类
未获取到,未获取到价格,,,,,
梦境出口,¥ 6.00,1 篇用户评测,1,2.4h,"角色扮演, 解谜, 赛博朋克, 第三人称, 冒险, 抽象, 逻辑, 独立, 动作角色扮演, 奔跑, 平台解谜, 迷宫探索, 卡通风格, 风格化, 人工智能, 奇幻, 线性, 单人, 3D",冒险类; 角色扮演类; 解谜类
Quirky Museum,¥ 0.00,,,,"探索, 漫画, 可爱, 收集马拉松, 隐藏物体, 解谜, 黑色, 视觉小说, 教程, 推理, 恋爱模拟, 角色自定义, 2D, 历史, 恐怖, 故事架构丰富, 放松, LGBTQ+, 爱情, 选择取向",冒险类; 解谜类
Life in Jasskia: a Coffee Shop,¥ 28.80,,,,"经济, 政治性, 商店管理, 模拟, 生存, 管理, 沉浸式模拟, 资本主义, 资源管理, 策略, 建造, 基地建设, 库存管理, 制作, 时间管理, 生活模拟, 单人, 风格化, 抢先体验, 3D",模拟类; 策略类
The Axolotl Cycle,¥ 0.00,,,,"休闲, 冒险, 动作, 视觉小说, 自选历险体验, 电影式, 拟真, 手绘, 未来, 黑暗, 科学, 科幻, 故事架构丰富, 心理, 时空旅行, 暴力, 血腥, 独立, 黑暗奇幻, 人工智能",动作类; 冒险类; 休闲类
Hope - The Game,¥ 41.20,2 篇用户评测,2,0.5h,"冒险, 解谜, 潜行, 单人, 第三人称, 探索, 多结局, 选择取向, 生存恐怖, 后末日, 3D, 风格化, 独立, 氛围, 情感, 黑暗, 惊悚, 僵尸",动作类; 冒险类; 解谜类
Watara,¥ 0.00,,,,"2D 平台, 2D, 卡通风格, 冒险, 逻辑, 可爱, 角色扮演, 放松, 休闲, 模拟, 卡通, 奇幻, 神话, 龙, 自动化, 彩色, 程序生成, 农场模拟, 不可思议迷宫, 探索",冒险类; 角色扮演类; 模拟类; 休闲类
Coconut Simulator 2,¥ 6.00,96%,253,81.2h,"动作, 模拟, 休闲, 冒险, 心理恐怖, 生活模拟, 放松, 独立, 沉浸式模拟, 可爱, 电竞, 收集马拉松, 物理, 单人, 步行模拟, 时空操控, 动作冒险, 探索, 剧情丰富, 解谜",动作类; 冒险类; 模拟类; 解谜类; 休闲类
未获取到,未获取到价格,,,1.4h,,
Dimmed Light,¥ 36.00,82%,17,0.8h,"动作, 冒险, 独立, 恐怖, 生存恐怖",动作类; 冒险类
Ludominar,¥ 18.00,,,,"动作, 动作冒险, 射击, 第三人称射击, 3D, 抽象, 第三人称, 氛围, 超现实, 战斗, 独立, 控制器, 玩家对战环境, 线性, 单人",动作类; 射击类; 冒险类
守个蛋,¥ 11.00,87%,16,6.4h,"休闲, 策略, 塔防, 射击, 类 Rogue, 传统类 Rogue, 弹幕射击, 轻度 Rogue, 2D, 俯视, 像素图形, 风格化, 刷宝, 冒险, 角色扮演, 独立, 地下, 奇幻, 逻辑, 战斗",射击类; 冒险类; 角色扮演类; 策略类; 休闲类
